G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
77.0,77.0,5,2915.0,7.5,16.2,0.462,1.2,3.6,0.341,6.2,12.6,0.496,4.6,5.2,0.877,1.1,7.2,8.3,2.6,1.1,1.3,1.7,2.7,20.7
78.0,78.0,4,2788.0,7.9,18.1,0.434,0,0.2,0.111,7.8,17.8,0.438,4.5,5.9,0.757,2.5,7.6,10,2.1,0.8,2.6,2.3,3.2,20.2
67.0,67.0,5,2464.0,8.1,13.9,0.584,0,0,0,8.1,13.9,0.584,4.8,9.9,0.49,3.6,7.6,11.2,2.9,0.5,2.4,2.8,3.3,21
7.0,0.0,4,25.0,2.9,8.6,0.333,0,0,0,2.9,8.6,0.333,7.2,8.6,0.833,0,7.2,7.2,2.9,0,0,1.4,11.5,13
80.0,80.0,4,3003.0,5.8,13.5,0.43,0.7,2.5,0.298,5.1,11.1,0.46,4.1,5.5,0.742,1.9,7.4,9.3,3.9,1,0.9,2.8,3.3,16.4
71.0,33.0,4,1580.0,5.7,12.3,0.463,0.4,1.1,0.375,5.3,11.3,0.472,3.7,4.8,0.775,3.6,5.9,9.6,1.6,0.8,1.4,2.3,3.1,15.5
82.0,7.0,1,1401.0,2.4,6.6,0.37,0.1,0.2,0.444,2.3,6.4,0.367,3.8,4.5,0.835,0.6,3.8,4.4,6,1.3,0.2,2.1,3.1,8.8
43.0,25.0,5,925.0,4.7,11.1,0.425,0,0,0,4.7,11.1,0.425,1.4,2.4,0.59,3,6.5,9.5,0.9,0.6,2.6,2.1,5.3,10.8
78.0,51.0,5,2153.0,3.5,7.3,0.476,0,0,0,3.5,7.3,0.477,1.9,3.3,0.579,3.7,6,9.7,2.1,0.5,2.3,1.7,3.8,8.8
82.0,1.0,4,1606.0,3.6,7,0.51,0,0.1,0,3.6,6.9,0.516,1.4,2.6,0.526,2.8,4.9,7.7,2,1.6,1.6,1.5,3.8,8.5
8.0,0.0,4,19.0,5.7,13.3,0.429,0,0,0,5.7,13.3,0.429,3.8,7.6,0.5,3.8,3.8,7.6,1.9,1.9,0,1.9,1.9,15.2
61.0,11.0,1,1033.0,3.5,8.5,0.404,0.1,0.8,0.13,3.3,7.7,0.432,0.8,1.1,0.742,0.6,2.4,3,4.8,0.9,0.1,2,3.1,7.8
6.0,0.0,1,22.0,4.9,13.1,0.375,0,0,0,4.9,13.1,0.375,3.3,3.3,1,0,1.6,1.6,6.5,1.6,0,3.3,6.5,13.1
55.0,11.0,1,1011.0,3.4,8.4,0.405,0.1,0.8,0.13,3.3,7.6,0.435,0.7,1,0.724,0.6,2.5,3,4.8,0.9,0.1,2,3,7.7
59.0,2.0,5,664.0,3.7,9.5,0.389,0,0,0,3.7,9.5,0.389,3.1,4.9,0.644,3.7,5.7,9.4,0.7,1.1,0.7,1.8,4.7,10.5
26.0,0.0,1,220.0,3.6,8.5,0.423,0,0,0,3.6,8.5,0.423,0.8,1,0.833,0.7,2.3,2.9,4.4,2,0.2,2.6,3.3,8
58.0,5.0,4,547.0,4.9,11,0.443,1.8,4.3,0.431,3,6.7,0.451,1.6,2.1,0.75,3,6.1,9.1,1.5,0.8,0.9,1.4,4.8,13.2
59.0,13.0,1,1211.0,3.1,8.9,0.349,0.1,0.8,0.154,3,8.1,0.368,1.3,2,0.662,0.4,2.6,3,5.5,1.2,0.3,2.6,2.7,7.6
31.0,1.0,1,479.0,6.1,15,0.407,1.7,4.7,0.355,4.4,10.3,0.431,1.7,2,0.852,0.6,2.2,2.8,5.3,1,0.5,3.5,3.8,15.6
13.0,0.0,1,63.0,3.4,9.1,0.375,1.1,2.3,0.5,2.3,6.9,0.333,0,0,0,0,3.4,3.4,6.3,1.1,0,6.9,2.9,8
5.0,0.0,1,71.0,4.6,14.7,0.31,0,2.5,0,4.6,12.2,0.375,0,0,0,0,2,2,6.1,2,0.5,2.5,3.5,9.1
13.0,1.0,1,345.0,6.9,16.1,0.429,2.1,5.5,0.377,4.8,10.5,0.455,2.4,2.8,0.852,0.8,2,2.8,4.9,0.7,0.5,3.1,4,18.3
75.0,75.0,1,2577.0,5.9,13.2,0.447,0.9,2.8,0.312,5,10.4,0.483,2.7,3.8,0.702,0.6,2.7,3.3,5.7,0.9,0.1,2.5,2.1,15.4
12.0,0.0,5,64.0,2.3,5.6,0.4,0,0,0,2.3,5.6,0.4,2.3,3.4,0.667,2.3,3.4,5.6,0.6,0,1.7,1.1,3.9,6.8
73.0,1.0,3,1651.0,4.4,8.6,0.506,0,0.3,0.167,4.3,8.4,0.517,2.3,4.1,0.553,2.8,3,5.8,3,1.8,0.5,2.3,3.3,11.1
79.0,14.0,3,1144.0,4.7,11.8,0.396,0.6,2.2,0.271,4.1,9.6,0.425,2,2.6,0.774,1.4,3.6,5,1.9,1.3,0.5,2.1,5.9,12
82.0,82.0,1,2825.0,6.1,13,0.471,0.7,2.1,0.333,5.4,10.9,0.497,2.3,3.2,0.714,0.9,3.4,4.4,5.7,1.2,0.2,1.9,2.2,15.3
75.0,0.0,2,1391.0,4,9,0.448,1.8,3.6,0.482,2.3,5.4,0.425,1.3,1.6,0.836,0.8,3.2,4,3.1,1.4,0.3,2,2.7,11.2
10.0,0.0,4,89.0,5.7,11.3,0.5,0,0,0,5.7,11.3,0.5,1.6,1.6,1,2.4,7.3,9.7,1.2,0.8,0.8,2.4,5.7,12.9
2.0,0.0,2,18.0,2,12,0.167,2,6,0.333,0,6,0,0,0,0,0,2,2,2,2,0,6,2,6
10.0,0.0,5,35.0,8.2,15.4,0.533,0,0,0,8.2,15.4,0.533,6.2,9.3,0.667,5.1,9.3,14.4,3.1,0,2.1,5.1,6.2,22.6
58.0,0.0,2,1037.0,4.4,10.9,0.401,1.9,4.8,0.399,2.5,6.1,0.403,1.1,1.4,0.795,0.6,3.5,4.1,2.3,0.7,0.3,1.3,1.3,11.7
16.0,0.0,2,284.0,4.2,13.6,0.308,1.4,5.5,0.256,2.8,8.1,0.344,0.8,1,0.75,0.3,2,2.3,2.9,0.6,0.3,2,1.4,10.5
33.0,0.0,2,621.0,4.6,9.7,0.476,2.1,4.4,0.474,2.6,5.3,0.478,1.1,1.4,0.76,0.7,3.6,4.3,2.2,0.6,0.3,1,1.3,12.5
